Crop_Year,Area,Production
2005,31324,10096
2005,1368,955
2005,50595,14480
2006,28709,22918
2006,1250,2189
2006,40279,16582
2007,28019,4800
2007,1273,2043
2007,39969,2414
2008,43475,58704
2008,1555,2742
2008,58942,95848
2009,38777,30856
2009,55112,58368
2010,35239,24730
2010,893,773
2010,52302,21553
2011,52016,100877
2011,57253,122096
2012,52016,77603
2012,40544,88148
2013,37527,45971
2013,1210,2070
2013,55454,64958
2014,33234,69706
2014,2768,4214
2014,52867,112523
1997,20955,29940
1997,69464,95925
1998,45,100
1998,77562,97032
1999,21058,24905
1999,13,28
2000,71859,106034
2000,20631,25234
2000,33,61
2001,61033,77754
2001,9,18
2001,19132,20200
2002,16954,16564
2002,427,724
2002,69929,81950
2003,8705,7434
2003,360,539
2003,69859,133513
2004,8505,5324
2004,351,483
2004,72581,53015
2005,9609,14702
2005,340,561
2005,77499,102693
2006,10028,13946
2006,332,508
2006,76392,83215
2007,9320,12405
2007,313,362
2007,72478,109428
2008,8752,11920
2008,333,536
2008,72442,105005
2009,11259,13364
2009,88,172
2009,65010,69763
2010,5872,6406
2010,286,556
2010,65124,82372
2011,2913,4948
2011,273,547
2011,74486,130617
2012,479,1008
2012,273,772
2012,70129,164814
2013,1261,2075
2013,2855,6653
2013,70608,121823
2014,910,1831
2014,71635,162891
1997,12,24
1997,30284,44202
1998,22716,31641
2000,23987,31950
2001,13046,20193
2002,33,47
2002,30340,57000
2003,29386,38431
2004,8511,2844
2005,22472,21219
2006,39302,94300
2007,32229,57099
2008,30563,69650
2009,1,1
2009,13953,12578
2010,8856,4205
2011,63,95
2011,30870,69605
2012,22773,70540
2013,14782,36825
2014,26738,101864
1997,5376,8612
1997,56,91
1997,19439,28654
1998,62,115
1998,18449,15898
1999,5171,6655
1999,62,123
2000,11339,15937
2000,4746,5577
2000,56,130
2001,18507,21857
2001,53,108
2001,8400,10920
2002,5671,7764
2002,52,109
2002,17801,21667
2003,5670,4218
2003,53,58
2003,19587,7795
2004,5599,6019
2004,52,71
2004,18513,4776
2005,3880,3530
2005,17951,11660
2006,3770,2042
2006,19901,10309
2007,2949,1269
2007,20563,7433
2008,2501,2653
2008,19736,17455
2009,2779,3179
2009,19316,6040
2010,7514,3796
2010,20213,3845
2011,8075,24198
2011,21727,51917
2012,5288,12878
2012,19442,40001
2013,5220,7208
2013,18443,15867
2014,4813,11420
2014,18076,30595
1997,22925,28028
1997,1867,2723
1997,87408,103968
1998,1869,2116
1998,75361,46312
1999,19103,28272
1999,1620,1372
2000,68939,72390
2000,21010,26911
2000,1608,3016
2001,93883,109753
2001,1260,2419
2001,28217,34215
2002,23017,28456
2002,1251,2536
2002,82576,80249
2003,22085,30780
2003,903,914
2003,80400,99185
2004,22121,19525
2004,1291,1860
2004,48561,11886
2005,22062,12335
2005,1435,1181
2005,48561,15978
2006,21114,15924
2006,1435,2068
2006,69963,46423
2007,23650,10184
2007,1479,2145
2007,28548,15803
2008,25037,41815
2008,22,37
2008,57047,79171
2009,25377,23570
2009,26,38
2009,77847,79622
2010,27152,13523
2010,9,20
2010,80271,24195
2011,20355,27816
2011,10,18
2011,84551,141168
2012,16077,29416
2012,10,28
2012,90250,199899
2013,16932,8056
2013,82462,86051
2014,14227,19776
2014,82362,162225
1997,35529,37976
1997,64337,98014
1998,10,22
1998,62745,84150
1999,37651,45811
1999,14,18
2000,65367,83737
2000,40356,49161
2000,254,470
2001,63628,82717
2001,183,375
2001,45900,48355
2002,41830,48956
2002,286,411
2002,63797,81197
2003,42996,52557
2003,62040,69830
2004,46737,49648
2004,133,194
2004,66191,59865
2005,43766,37386
2005,133,194
2005,67407,65302
2006,32799,34184
2006,73991,114275
2007,27838,20825
2007,90,148
2007,84413,89746
2008,26991,33600
2008,91,155
2008,83184,107993
2009,25898,2974
2009,90,176
2009,83192,5352
2010,21982,17101
2010,65639,61884
2011,29219,45854
2011,74099,151507
2012,30915,61901
2012,9,21
2012,72206,160728
2013,29007,45157
2013,29,67
2013,65079,113031
2014,28045,63934
2014,28,57
2014,64555,126893
1997,16354,20397
1997,8657,13823
1997,86723,93863
1998,7277,12887
1998,82184,82916
1999,17307,19907
1999,8721,13167
2000,88396,100924
2000,28056,32416
2000,6723,8288
2001,77478,85946
2001,6781,11444
2001,23589,22668
2002,25907,27216
2002,4720,5581
2002,86211,109912
2003,29910,37886
2003,89672,120294
2003,5396,6411
2003,89672,120294
2004,27691,24303
2004,5422,5964
2004,83316,89663
2005,29400,33004
2005,4389,7239
2005,77823,98290
2006,26359,32791
2006,4084,6130
2006,71618,81814
2007,28946,36178
2007,4356,5840
2007,75826,107533
2008,28512,27920
2008,4567,6367
2008,64522,70539
2009,26306,25538
2009,4312,5403
2009,65501,73414
2010,22177,31278
2010,6196,12124
2010,62055,70708
2011,33647,29926
2011,6197,8966
2011,58119,102423
2012,33647,56306
2012,6197,11750
2012,58119,85302
2013,32441,49310
2013,11049,21822
2013,54942,96717
2014,28287,42780
2014,6092,8341
2014,77698,149839
1997,8561,7602
1997,118,192
1997,48676,44775
1998,517,960
1998,47253,49377
1999,9718,11866
1999,56,45
2000,50324,77664
2000,12250,19943
2000,300,358
2001,47097,69015
2001,336,648
2001,14078,19203
2002,14058,19315
2002,188,356
2002,47937,60804
2003,13377,13099
2003,73,74
2003,48738,31081
2004,11266,5372
2004,10,15
2004,49316,13288
2005,10577,12259
2005,496,473
2005,48545,46887
2006,10375,12118
2006,211,323
2006,49010,33630
2007,9340,6566
2007,177,283
2007,47850,25385
2008,9113,12931
2008,174,295
2008,48346,77834
2009,5974,4033
2009,45,42
2009,45939,42862
2010,4650,2590
2010,157,265
2010,33233,22677
2011,7522,11307
2011,151,275
2011,38432,92937
2012,7820,18287
2012,151,427
2012,38381,93187
2013,4298,3684
2013,686,1609
2013,35229,53367
2014,5925,6254
2014,681,1519
2014,39578,90475
1998,120,360
1999,80,240
2000,70,350
2001,50,250
2002,140,700
2003,100,500
2004,80,400
2005,50,250
2006,50,250
2007,50,250
2008,20,100
2009,20,100
2010,20,103
2011,177115,327525
2012,177182,357486
2013,181677,291899
2014,183795,348670
2011,225302,264652
2012,222135,382025
2013,223120,324941
2014,238360,383684
2011,81931,112272
2012,78612,153034
2013,76789,128716
2014,84190,153462
2000,258336,213319
2001,260224,385963
2002,258955,128736
2003,260206,439318
2004,260826,327311
2005,260734,349876
2006,239805,326040
2007,239537,345270
2008,240340,280325
2009,240074,278302
2010,239376,401486
2011,136930,145313
2012,137609,244700
2013,137727,229306
2014,132393,241480
2011,155499,271535
2012,154451,266542
2013,156979,231018
2014,160884,274799
2006,59305,
2007,61042,81497
2008,61144,42886
2009,58042,66370
2010,59639,127052
2011,55919,79528
2012,60841,115818
2013,61635,99211
2014,61565,115289
2000,314066,195548
2001,319809,448855
2002,316368,212099
2003,320204,505972
2004,321626,433960
2005,322411,515483
2006,324475,462644
2007,325134,469491
2008,323407,447099
2009,305253,311696
2010,329117,551672
2011,224564,412102
2012,219766,436557
2013,222487,459300
2014,227579,456491
2000,207469,177354
2001,208838,273524
2002,204492,113811
2003,208224,283588
2004,209076,212564
2005,209077,171278
2006,118352,211112
2007,129463,181019
2008,130262,144890
2009,132580,96012
2010,137791,261296
2011,66335,84423
2012,67846,164816
2013,68153,112922
2014,70366,131262
2000,143445,139175
2001,142588,213867
2002,139084,164690
2003,141585,217544
2004,145537,201587
2005,149772,272042
2006,163589,328047
2007,175006,346087
2008,152432,268219
2009,143904,260683
2010,168855,395133
2011,162439,405071
2012,185013,489332
2013,194750,436199
2014,198148,620402
2000,435303,224171
2001,436807,605170
2002,432904,233410
2003,442753,716384
2004,449635,633535
2005,453535,746241
2006,460930,673868
2007,465325,730870
2008,464617,420864
2009,451263,355753
2010,462087,844764
2011,129502,248913
2012,129784,296124
2013,130671,253696
2014,130467,242048
2011,134895,154339
2012,131879,206342
2013,134290,198730
2014,139889,237276
2000,254692,167830
2001,254981,386700
2002,252737,299041
2003,253178,341989
2004,253093,314469
2005,253737,452873
2006,278916,528694
2007,254239,539486
2008,288940,484450
2009,254022,557818
2010,254778,659384
2011,279492,734839
2012,281528,847944
2013,257816,742522
2014,253667,802349
2000,179057,120855
2001,179252,221341
2002,180322,116095
2003,180373,225019
2004,180028,167461
2005,180718,159200
2006,180309,188689
2007,181389,220343
2008,180921,203992
2009,180614,193157
2010,179402,247335
2011,180163,267743
2012,182433,278298
2013,180506,277510
2014,180700,290404
2000,90203,46575
2001,92215,108539
2002,92649,81628
2003,92807,101004
2004,93135,83543
2005,93236,102670
2006,92837,129942
2007,93715,104967
2008,95047,100521
2009,96516,78540
2010,95739,151006
2011,95695,155004
2012,95853,142900
2013,96026,127776
2014,102157,138630
2000,162220,133229
2001,164934,262672
2002,160452,88832
2003,164148,319835
2004,165555,248783
2005,167460,275545
2006,170620,302060
2007,171869,284312
2008,171869,223318
2009,171869,215414
2010,173596,385716
2011,173669,241055
2012,174398,452378
2013,177529,431585
2014,178689,477197
2011,99670,105332
2012,99796,172562
2013,100277,181999
2014,100383,193520
2000,109325,60674
2001,110152,145072
2002,108984,82439
2003,110113,134710
2004,109856,101504
2005,109622,129060
2006,109853,95823
2007,109818,120613
2008,109650,110250
2009,109232,101991
2010,109207,130510
2011,109052,151705
2012,109252,175010
2013,109179,150499
2014,109135,164065
2000,68626,45906
2001,70398,102157
2002,66735,36098
2003,69774,99029
2004,69968,75066
2005,70855,62552
2006,71107,66435
2007,69115,55104
2008,70742,84338
2009,68325,49123
2010,67867,73896
2011,69804,104657
2012,69533,122289
2013,69767,112577
2014,73095,130407
2000,233263,114090
2001,242450,290201
2002,242444,108462
2003,250091,387427
2004,251046,319432
2005,250057,247754
2006,256752,331104
2007,241743,331756
2008,260661,292312
2009,262841,292973
2010,266738,486688
2011,266270,377333
2012,270962,521880
2013,271381,474504
2014,272551,510063
2011,108233,213753
2012,108920,245868
2013,108812,187778
2014,108824,220811
2006,23578,
2007,24164,35631
2008,24165,37898
2009,24099,26366
2010,29917,51571
2011,23961,26115
2012,24207,34894
2013,24627,39302
2014,24856,44005
2000,241943,116886
2001,241432,305358
2002,239372,168485
2003,242593,322350
2004,241526,250401
2005,240317,278707
2006,240616,307132
2007,241665,312306
2008,242366,296840
2009,240135,277370
2010,240388,336652
2011,241162,334923
2012,240220,362982
2013,237928,303252
2014,228200,367385
2000,513066,208356
2001,517577,616749
2002,516328,386465
2003,520847,711370
2004,521744,626563
2005,518561,804924
2006,534394,785967
2007,539878,805433
2008,529148,691851
2009,521918,753589
2010,545965,771395
2011,169099,219975
2012,183690,375108
2013,185684,314837
2014,186042,376312
2000,249419,210646
2001,253973,296457
2002,254729,193529
2003,257926,357731
2004,260215,291457
2005,261961,357964
2006,265967,357973
2007,268022,290436
2008,271256,211856
2009,269249,210540
2010,274412,438569
2011,276480,458453
2012,277609,512609
2013,281928,428897
2014,287194,480285
2011,71239,91114
2012,73085,156158
2013,72828,171578
2014,78438,174280
2011,107505,148323
2012,108067,138640
2013,108262,189774
2014,106865,196547
2000,309313,194681
2001,314482,411096
2002,311106,221033
2003,314170,404374
2004,310959,299182
2005,312299,341368
2006,313914,345995
2007,311757,380351
2008,311848,365590
2009,307674,221619
2010,302922,323612
2011,117901,164828
2012,117501,196105
2013,116893,202401
2014,117268,206623
1998,14123,24023
1998,383,770
1999,13905,27754
1999,500,938
2000,13668,25299
2000,1550,3364
2001,13493,30197
2001,386,838
2002,13301,37482
2002,382,839
2003,13314,26761
2003,583,1172
2004,13334,27788
2004,653,1383
2005,12903,32296
2005,657,1347
2006,12902,28565
2006,2500,5950
2007,13600,23700
2008,13600,23400
2009,12500,13500
2010,10220,19653
2010,580,1186
2011,10316,18156
2011,349,396
2012,13490,26036
2012,344,668
2013,13255,24866
2013,325,631
2014,13490,25181
2014,376,726
2004,29535,85664
2005,29605,85399
2006,29124,76689
2007,29653,71918
2008,19974,47919
2008,8145,20727
2009,18201,35411
2009,8688,24343
2010,17314,41896
2010,8450,22437
2011,18019,47954
2011,8450,23108
2012,18045,47789
2012,7355,21852
2013,14740,44206
2013,7270,22145
2014,14385,40962
2014,6820,18826
1997,15169,40864
1997,6417,19052
2004,22907,59510
2005,22572,61837
2006,23861,52256
2007,22538,49761
2008,13664,30786
2008,7543,22435
2009,12965,23856
2009,7250,16995
2010,13318,30325
2010,7530,20336
2011,13228,30816
2011,7540,20113
2012,13210,33440
2012,7220,19740
2013,13590,35908
2013,7220,24252
2014,13455,40307
2014,7310,20410
1997,75300,114500
1998,52200,72600
1999,75100,78900
2000,84100,37500
2001,82000,144300
2002,47500,39300
2003,83200,197600
2004,78900,176000
2004,100,200
2005,94800,235500
2005,1000,2900
2006,97300,178800
2006,2800,8100
2007,105200,214100
2007,2800,8600
2008,96100,175500
2008,2300,6400
2009,83700,209200
2009,5300,17100
2010,103500,273600
2010,10000,36700
2011,119000,311000
2011,14100,54600
2012,107800,212600
2012,4700,13100
1998,100,100
1999,100,100
2001,100,100
2003,71900,142700
2003,1200,4200
2004,80400,175100
2004,500,1400
2005,82300,178500
2005,9100,27100
2006,72400,125200
2006,6100,16500
2007,86100,200300
2007,5000,15300
2008,88200,174400
2008,2200,5600
2009,75200,192700
2009,1000,3000
2010,87700,185200
2010,1500,4100
2011,89000,198500
2011,2800,6300
2012,94400,238900
2012,700,2200
1997,25100,24600
1998,21100,25200
1999,27200,23700
2000,27900,17600
2001,24200,25200
2001,200,600
2002,23700,24200
2002,600,2900
2003,13300,21900
2003,500,1800
2004,12300,15800
2004,200,500
2005,12900,18100
2005,200,700
2006,10500,15200
2006,400,1100
2007,11400,16800
2007,1200,3700
2008,14600,24400
2008,800,2500
2009,12200,19400
2009,300,1000
2010,11400,19200
2010,1800,5500
2011,10300,16500
2011,2800,8900
2012,9600,14100
2012,2100,6300
1997,100,200
1999,100,200
2001,100,200
2002,100,100
1997,11400,8800
1998,12300,13500
1999,13100,13000
2000,12400,8300
2001,12200,15300
2002,14100,10700
2003,14000,17100
2004,12600,30500
2005,15500,20900
2006,16900,20400
2007,16800,22800
2008,17900,22700
2009,15800,17400
2010,18000,23400
2011,18000,30700
2012,13800,21800
2003,54600,75200
2004,49700,39300
2005,44900,35800
2006,45700,38700
2007,39300,38900
2008,36100,24800
2009,29700,7500
2010,35800,32000
2011,36200,31700
2012,31800,35800
1997,7200,19400
1998,5900,15600
1999,7900,24000
2000,7600,17100
2001,7000,17500
2002,4600,9900
2003,13100,35200
2004,13200,29100
2005,10000,27200
2005,300,900
2006,11300,25600
2006,3000,8600
2007,12800,32000
2007,3000,9200
2008,12800,26900
2009,10600,22200
2010,16000,36900
2011,8800,20100
2012,3500,8100
1997,100,200
2011,200,500
1997,155600,273500
1998,145200,286400
1999,169100,363900
2000,112500,73400
2000,100,500
2001,171800,308400
2001,300,800
2002,71200,93500
2002,200,800
2003,98800,198900
2003,10000,34400
2004,99400,223900
2004,2800,8100
2005,89700,218500
2005,1800,5500
2006,92400,169300
2006,7900,22200
2007,99800,237400
2007,4800,15100
2008,101100,211600
2008,2300,6500
2009,87100,201300
2009,5300,14700
2010,87300,210500
2010,10100,25800
2011,97500,212700
2011,12000,33800
2012,81700,194500
2012,2600,8300
1997,13800,27300
1998,11400,22200
1999,11700,17200
2000,10200,7100
2001,12600,23600
2002,3700,5300
2003,7200,9700
2004,4500,10900
2005,6000,13600
2006,8100,16700
2007,8300,19100
2008,5900,12100
2009,6200,15700
2010,8200,17400
2011,5400,9700
2012,1400,3200
2003,13900,10800
2004,12200,11400
2005,10800,8600
2006,13000,9700
2007,13600,11600
2008,15200,13700
2009,15000,8200
2010,12000,10500
2011,17900,14700
2012,11600,12800
2012,100,100
2003,43200,102900
2003,6500,25200
2004,42900,92200
2004,4900,15200
2005,34900,87400
2005,5600,17900
2006,35900,81800
2006,6300,19100
2007,44800,112500
2007,6100,18800
2008,46300,111200
2008,6100,18200
2009,59900,149000
2009,1100,3100
2010,62600,161300
2010,24900,75300
2011,52200,133900
2011,27400,80700
2012,51300,128200
2012,8300,26900
1997,119200,141700
1998,106600,104200
1999,100400,40100
2000,91200,9800
2001,84900,20600
2002,86200,26300
2003,61600,62500
2003,100,500
2004,69300,51600
2004,500,1300
2005,71300,62800
2005,1200,3700
2006,70800,50300
2006,300,900
2007,77400,80700
2007,1000,3000
2008,72100,51800
2008,300,1000
2009,61000,29600
2009,400,1100
2010,70400,59600
2010,500,1400
2011,78300,98200
2011,800,2600
2012,67300,118900
2012,200,800
1997,29800,54900
1998,30900,51800
1999,36900,69000
2000,15000,15500
2001,17000,26700
2002,8700,14000
2003,6500,10900
2004,9700,16800
2005,5800,14000
2006,8100,14500
2007,10300,22400
2008,10100,18400
2009,6700,16400
2010,5600,12000
2011,6700,15900
2012,3700,8200
1997,81900,149100
1998,80500,166400
1999,76700,143100
2000,70600,117000
2000,2900,7500
2001,83500,167000
2001,2900,8900
2002,73500,137200
2002,5100,24600
2003,80000,154800
2003,5300,17000
2004,79300,141000
2004,4700,12200
2005,68300,131200
2005,3700,10700
2006,72600,144200
2006,5100,14400
2007,80500,154900
2007,7900,21700
2008,58400,124300
2008,9700,33200
2009,54600,130300
2009,6200,20300
2010,60700,124000
2010,18900,56500
2011,52300,126800
2011,19000,64000
2012,39700,84100
2012,8900,26900
1997,600,1200
1998,100,300
1999,500,1000
2000,700,400
2001,800,1200
2002,600,600
2003,200,300
2005,500,1100
2006,500,900
2007,800,1500
2008,900,1000
2009,600,600
2011,500,1200
2012,200,400
2008,25700,38100
2008,700,1500
2009,29400,48300
2009,700,2200
2010,35400,71900
2010,2600,7900
2011,47300,99300
2011,2600,8300
2012,45800,119400
2012,900,2900
1997,54700,54700
1998,53500,61900
1999,48300,26800
2000,51500,6100
2001,58600,48700
2002,47200,38000
2003,47200,59400
2004,52100,54300
2005,53100,61300
2006,49500,57400
2007,61400,83600
2008,60400,67100
2009,52500,47700
2010,55100,68100
2011,44400,55300
2012,44600,63200
1997,97800,172200
1998,102300,195700
1999,97300,183900
2000,99800,162800
2000,900,2700
2001,109200,229900
2001,400,1200
2002,87900,142600
2002,5900,26400
2003,42700,93300
2003,300,700
2004,49100,89400
2004,100,300
2005,47500,94800
2005,1700,4900
2006,50600,96500
2006,1800,5100
2007,57500,127700
2007,800,2500
2008,60300,127500
2008,800,2500
2009,58300,112900
2009,700,2100
2010,58600,118200
2010,9500,28800
2011,67300,145100
2011,2700,8700
2012,63800,143900
2012,600,1700
1997,65000,182000
1998,71365,186000
1999,72185,206000
2000,71840,217000
2001,74881,233000
2002,61465,183000
2003,73240,227000
2004,73580,233000
2005,76540,254000
2006,75737,261000
2007,75164,277000
2008,81002,267000
2009,82283,306000
2010,81869,282000
2011,82586,322000
2012,82642,343000
1997,1000,3000
1998,7223,16000
1999,7317,17000
2000,8159,20000
2001,7422,21000
2002,6491,19000
2003,9890,23000
2004,11412,14000
2005,12526,25000
2006,13666,26000
2007,14818,40000
2008,21217,45000
2009,19028,44000
2010,21314,44000
2011,17520,46000
2012,14981,40000
1997,21000,59000
1998,30124,70000
1999,28820,58000
2000,28959,80000
2001,31274,88000
2002,18092,48000
2003,28333,78000
2004,28255,68000
2005,26376,70000
2006,27360,84000
2007,29214,94000
2008,8447,22000
2009,9560,24000
2010,9550,18000
2011,11554,28000
2012,10709,25000
1997,52000,184000
1998,70105,208000
1999,69238,164000
2000,61308,199000
2001,58359,175000
2002,66915,202000
2003,65108,218000
2004,65365,280000
2005,68371,254000
2006,70069,312000
2007,73133,318000
2008,77738,339000
2009,81385,291000
2010,87580,348000
2011,87063,325000
2012,89639,370000
1997,7000,20000
1998,10884,25000
1999,9465,22000
2000,7881,20000
2001,7503,21000
2002,2639,8000
2003,7491,19000
2004,6252,18000
2005,2197,6000
2006,2322,6000
2007,2615,10000
2008,3457,8000
2009,4425,14000
2010,5151,14000
2011,4803,15000
2012,4452,13000
1997,22000,64000
1998,43409,97000
1999,44552,107000
2000,33285,63000
2001,20353,37000
2002,21328,41000
2003,27931,68000
2004,28281,63000
2005,35448,87000
2006,35283,94000
2007,37626,99000
2008,48567,132000
2009,43250,94000
2010,44733,113000
2011,42921,111000
2012,42070,102000
1997,8000,13000
1998,19923,38000
1999,15097,14000
2000,16498,25000
2001,15794,22000
2002,6484,19000
2003,11702,18000
2004,13362,16000
2005,17028,29000
2006,17210,31000
2007,18778,43000
2008,33888,33000
2009,25954,47000
2010,31014,62000
2011,30923,67000
2012,23128,53000
1997,81000,224000
1998,110962,230000
1999,116552,205000
2000,111598,222000
2001,104307,222000
2002,69245,130000
2003,91072,218000
2004,90894,201000
2005,96708,258000
2006,93719,248000
2007,95256,249000
2008,106846,250000
2009,108272,296000
2010,113883,284000
2011,114854,297000
2012,114012,318000
1997,150000,434000
1998,162169,349000
1999,162873,364000
2000,164224,391000
2001,160911,402000
2002,170163,444000
2003,156847,388000
2004,152637,399000
2005,150621,477000
2006,150635,473000
2007,152110,513000
2008,156311,391000
2009,158348,462000
2010,158671,436000
2011,158896,461000
2012,162461,512000
1997,161000,427000
1998,161526,357000
1999,161526,447000
2000,157949,444000
2001,166037,494000
2002,159111,426000
2003,167481,499000
2004,167405,567000
2005,169130,521000
2006,166200,553000
2007,167149,610000
2008,169034,465000
2009,171517,521000
2010,172698,461000
2011,165034,501000
2012,170172,572000
1997,106000,327000
1998,113715,267000
1999,111611,335000
2000,111765,357000
2001,111396,367000
2002,106928,371000
2003,111949,348000
2004,121844,468000
2005,110791,416000
2006,108950,440000
2007,114536,460000
2008,121530,408000
2009,117969,453000
2010,119783,383000
2011,121216,459000
2012,110728,477000
2000,1,
2006,1,
2009,33,
2010,25,
2011,39,
2005,8623,27000
2006,8097,15000
2007,8541,22000
2008,7110,16000
2009,6050,18000
2010,6177,17000
2011,6069,18000
2012,4051,13000
2008,27185,74000
2009,30738,85000
2010,33070,91000
2011,32387,88000
2012,30021,83000
1997,6000,16000
1998,6084,16000
1999,6384,18000
2000,6183,18000
2001,6933,20000
2002,5702,16000
2003,6924,21000
2004,6776,18000
2005,6087,17000
2006,7340,28000
2007,7088,20000
2008,8797,24000
2009,8415,23000
2010,9070,30000
2011,9151,25000
2012,9453,25000
1997,69000,169000
1998,71746,154000
1999,70637,144000
2000,77458,187000
2001,71831,167000
2002,64007,161000
2003,72317,164000
2004,72281,164000
2005,70753,181000
2006,70777,194000
2007,73632,188000
2008,77763,169000
2009,76960,205000
2010,76905,174000
2011,76032,201000
2012,75683,210000
1998,723,2000
1999,1132,2000
2000,705,3000
2001,686,3000
2002,343,0
2003,621,3000
2004,475,3000
2005,621,3000
2006,788,3000
2007,820,3000
2008,2066,5000
2009,2079,5000
2010,2746,8000
2011,3298,9000
2012,2008,7000
1997,16000,29000
1998,27522,53000
1999,28515,26000
2000,23863,36000
2001,20034,27000
2002,7412,8000
2003,13859,21000
2004,15014,26000
2005,18006,36000
2006,20185,37000
2007,23167,52000
2008,38439,48000
2009,35056,50000
2010,39340,59000
2011,39260,84000
2012,36432,55000
1997,32000,107000
1998,41353,101000
1999,44663,135000
2000,39847,111000
2001,37202,118000
2002,45158,145000
2003,47696,156000
2004,45729,157000
2005,46036,166000
2006,46453,175000
2007,48268,189000
2008,57477,196000
2009,61374,204000
2010,61372,195000
2011,63082,20300
2012,65218,230000
1997,62000,130000
1998,79400,133000
1999,77681,139000
2000,77247,138000
2001,78764,148000
2002,43976,96000
2003,65954,149000
2004,65954,124000
2005,71450,167000
2006,67865,178000
2007,71325,192000
2008,92641,186000
2009,90214,219000
2010,93752,202000
2011,94753,229000
2012,88355,216000
1997,54000,168000
1998,58461,130000
1999,54804,160000
2000,55512,164000
2001,53818,161000
2002,50192,151000
2003,56776,172000
2004,58720,191000
2005,59276,200000
2006,59379,213000
2007,59305,227000
2008,71634,221000
2009,73525,267000
2010,74578,244000
2011,72653,268000
2012,70040,277000
1998,2068,2584
1999,1516,2431
2000,1859,2790
2001,1773,2389
2002,1526,675
2003,1649,2672
2004,1497,2027
2005,1416,1937
2006,1484,3851
2007,2123,4768
2008,1560,3257
2010,1540,2956
1998,2891,3878
1999,2828,3955
2000,2594,3804
2001,2796,3959
2002,2806,4996
2003,2710,4496
2004,2760,4193
2005,2772,4585
2006,2726,4031
2007,2706,3345
2008,2666,3285
2010,3506,5767
1998,2697,4040
1999,2488,4006
2000,2403,2997
2001,2524,3590
2002,4627,2998
2003,2287,2833
2004,2261,2364
2005,2421,3253
2006,2056,3084
2007,2022,3164
2008,1995,2912
2010,1908,2870
1998,37728,52148
1999,36686,53215
2000,38334,56392
2001,37272,63082
2002,37144,34219
2003,37802,56121
2004,37079,48680
2005,36961,50934
2006,38279,54148
2007,37121,53986
2008,36855,55836
2010,37611,59209
1998,23,33
1999,30,45
2000,23,35
2001,29,49
2002,31,32
2003,27,40
2004,31,43
2005,22,31
2006,28,44
2007,13,20
2008,16,24
2010,15,25
1998,1655,1965
1999,1719,2241
2000,1507,2287
2001,1618,2417
2002,1719,2776
2003,1558,2046
2004,1546,2571
2005,1513,1449
2006,1478,1928
2007,1469,1984
2008,1439,1972
2010,1516,1822
1998,20697,29448
1999,20447,30646
2000,20083,31474
2001,19762,33767
2002,20942,22461
2003,19783,28981
2004,20092,25275
2005,20276,29167
2006,19566,27068
2007,19469,25002
2008,20171,27410
2010,19481,30528
1998,2898,3722
1999,2923,3333
2000,2579,2370
2001,2368,2978
2002,3087,2636
2003,2261,2207
2004,1981,2122
2005,1810,1966
2006,1651,1887
2007,1640,1602
2008,1214,1209
2010,1359,1464
1998,5224,7682
1999,5427,8199
2000,5974,9829
2001,5884,11236
2002,5270,5278
2003,5383,8729
2004,5509,7881
2005,5435,7223
2006,5328,12012
2007,5634,12805
2008,5730,7778
2010,6115,13833
1998,3652,6165
1999,3481,6443
2000,3552,7510
2001,3305,6156
2002,3377,5377
2003,5355,7866
2004,4742,10401
2005,4721,8283
2006,4634,10968
2007,4351,10126
2008,4260,10565
2010,2094,5166
1998,2592,5332
1999,2677,5851
2000,2611,5405
2001,3248,7795
2002,2744,4205
2003,2520,4633
2004,2021,3572
2005,2019,3311
2006,1976,4464
2007,2023,4651
2008,1803,4029
2010,1919,5277
1997,41279,1105
1999,40380,90749.1
2000,37577,69551.8
2001,38893,56910
2002,39013,80077
2003,40375,94313
2004,40375,105726
2005,40927,117980
2007,25086,64867
2014,23904,19403
1997,27897,626
1999,26568,34191.9
2000,24907,39978.4
2001,25245,44757
2002,24858,55256
2003,24617,43876
2004,23734,40372
2005,24176,61700
2007,23092,51080
2014,26183,23727
2007,9588,26293
2014,9203,11049
1997,34304,670
1999,27678,36961.7
2000,27176,45918.5
2001,29930,49275
2002,32014,66822
2003,31628,64280
2004,31049,62904
2005,29918,74787
2007,21205,58140
2014,21265,23376
1997,4148,45
1999,4066,3463.9
2000,3503,3403.8
2001,3879,3310
2002,4155,4412
2003,4050,7455
2004,4203,4758
2005,3781,5640
2007,1868,1760
2014,1911,1893
2007,8363,22313
2014,7684,8684
1997,57940,1060
1999,50332,62897.7
2000,50161,97243.1
2001,50176,87378
2002,46885,66348
2003,58426,106547
2004,53706,90148
2005,57336,94780
2007,50716,93887
2014,65470,116969
1997,34356,591
1999,35644,51878.5
2000,34303,57398.1
2001,36591,64733
2002,29420,43402
2003,30628,55677
2004,30611,51805
2005,30747,51393
2007,27573,52647
2014,33206,51180
2007,943,887
2014,1196,144
2007,17961,46447
2014,18344,18025
1997,17337,224
1999,9918,4037.9
2000,11255,12414
2001,11784,19275
2002,11784,19289
2003,11806,18855
2004,12013,17800
2005,13867,22120
2007,15241,24100
2014,17680,18307
1997,3598,46
1999,3610,6861.1
2000,3598,6273.7
2001,3462,5412
2002,3440,5126
2003,3213,5319
2004,3562,5225
2005,3584,5367
2007,3669,6680
2014,3349,4346
1997,26296,654
